id,title,gradeLevel,semester,icon,desc,duration,level,type,status,pic,subMateri,outputs
smart-trashbin,Smart Trashbin,7,Semester 2,trash,Proyek tempat sampah pintar berbasis Microbit yang terbuka otomatis menggunakan servo saat mendeteksi objek.,3 Minggu,Pemula,Praktik Mandiri,Selesai,Mr Fadhlan,"[{""name"":""Fundamental Microbit"",""ref"":""Doc microbit: https://makecode.microbit.org/docs"",""link"":""fundamental microbit""},{""name"":""Algoritma, konsep, dan komponen smart trashbin"",""link"":""algoritma smart trashbin""},{""name"":""Pemrograman basic Makecode (variable, percabangan, looping, pins)"",""ref"":""Doc microbit: https://makecode.microbit.org/docs""},{""name"":""Pemrograman Smart trashbin""},{""name"":""K3 dalam bekerja"",""ref"":""PEDOMAN K3 LAB.docx"",""link"":""https://docs.google.com/presentation/d/1yuJzz-Hh4nJzL0BtJeKIWrrAOzg9V2pG/edit?usp=drive_link&ouid=104394771420958359917&rtpof=true&sd=true""},{""name"":""Integrasi hardware dan program smart trashbin"",""link"":""https://canva.link/fz5kuw9d8j9zdja""},{""name"":""Chatgpt / Google Lens Sebagai pembantu pengenalan awal komponen""}]","[""Video Demo"",""Flyer Proyek"",""Website Portofolio""]"
tinybit-bluetooth,Tinybit BT,7,Semester 2,bluetooth,Membuat aplikasi web controller dan memprogram Tinybit Robot agar bisa dikendalikan secara nirkabel via Bluetooth.,3 Minggu,Pemula,Teori & Praktik,Selesai,Mr Alfi,"[{""name"":""Komunikasi Bluetooth"",""ref"":""bluetooth: https://www.elecfreaks.com/learn-en""},{""name"":""Fundamental Tinybit"",""ref"":""tinybit: https://www.yahboom.net/study/Tinybit-Pro""},{""name"":""Pemrograman basic untuk menggerakkan tinybit""},{""name"":""Integrasi""},{""name"":""Pengembangan kontroller pada tinybit bluetooth controller""},{""name"":""Teknik prompting lovable (chatgpt)""},{""name"":""ChatGPT / Claude: brainstorming ide pengembangan fitur kontroller"",""link"":""teknik prompting""}]","[""Aplikasi Web Controller"",""Video Demo""]"
tinybit-gesture,Tinybit Gesture,7,Semester 2,hand,Mengendalikan robot Tinybit kedua dengan gerakan tangan (accelerometer) dari microbit transmitter.,3 Minggu,Pemula,Teori & Praktik,Belum Dimulai,Mr Alfi,"[{""name"":""Sejarah AI"",""ref"":""Teachable Machine"",""link"":""Sejarah AI""},{""name"":""Konsep AI dan cara kerja"",""ref"":""Buku AI Kemendikbud"",""link"":""Konsep AI""},{""name"":""Faktor-faktor yang mempengaruhi pembuatan AI"",""link"":""Faktor pengaruh AI""},{""name"":""Teachable machine"",""ref"":""Apa Itu Machine Learning?""},{""name"":""Faktor yang mempengaruhi kualitas model AI pada teachable machine""},{""name"":""Integrasi"",""ref"":""Control Robot With Hand Gestures - CARDBOARD ROBOTS""},{""name"":""Teknik prompting lovable (chatgpt)"",""ref"":""membuat web dengan ai""},{""name"":""ChatGPT / Claude: brainstorming ide pengembangan fitur kontroller"",""ref"":""6 Teknik Prompting ChatGPT Agar Hasilnya Setara Kerja Expert - Argia Academy""}]","[""Program Transmitter-Receiver"",""Video Demo""]"
tinybit-line,Tinybit Line Follower,7,Semester 2,route,Robot Tinybit mengikuti garis hitam dengan algoritma PID agar gerakan lebih presisi dan smooth.,3 Minggu,Pemula,Praktik Mandiri,Belum Dimulai,Mr Fadhlan,"[{""name"":""Fundamental Line Follower""},{""name"":""Algoritma Line Follower""},{""name"":""Pemrograman basic dan lanjutan untuk menggerakkan line follower""},{""name"":""Praktek dengan track sederhana""},{""name"":""Teknik prompting (chatgpt / deepseek / claude)"",""link"":""teknik prompting""},{""name"":""Tes dengan track advance (chatgpt / deepseek / claude)"",""link"":""track advance dengan ai""}]","[""Robot Line Follower PID"",""Video Demo""]"
smart-watering-plant,Smart Watering,7,Semester 2,sprout,Membangun penyiram tanaman otomatis berbasis kelembaban tanah dengan notifikasi telegram.,3 Minggu,Pemula,Deploy Project,Selesai,Mr Fadhlan,"[{""name"":""Algoritma, konsep, dan komponen smart watering plant"",""link"":""smart watering plant""},{""name"":""Pemrograman Smart watering plant"",""link"":""smart watering plant""},{""name"":""K3 dalam bekerja"",""ref"":""PEDOMAN K3 LAB.docx"",""link"":""https://drive.google.com/file/d/18GPMXi9-nlijGMKDGzuXay0cJu6ZIdCD/view?usp=drive_link""},{""name"":""Integrasi hardware dan program smart watering plant"",""link"":""smart watering plant""},{""name"":""ChatGPT / Claude: brainstorming ide pengembangan fitur kontroller"",""link"":""teknik prompting""}]","[""Hardware Penyiram Tanaman"",""Video Demo""]"
smart-parking,Smart Parking,7,Semester 2,parking,Sistem palang pintu parkir otomatis menggunakan RFID reader dan sensor infra merah.,3 Minggu,Pemula,Praktik Mandiri,Selesai,Mr Alfi,"[{""name"":""Algoritma, konsep, dan komponen smart"",""link"":""modul smart parking""},{""name"":""Pemrograman Smart parking""},{""name"":""K3 dalam bekerja"",""link"":""https://drive.google.com/file/d/1hRZ1vqyA_ixJOPkkFh7Ab0oSh8rxUeX4/view?usp=sharing""},{""name"":""Integrasi hardware dan program smart parking""},{""name"":""Teachable machine"",""ref"":""Apa Itu Machine Learning?""}]","[""Prototip Palang Parkir"",""Flyer Proyek""]"
robot-bluetooth,Robot BT,8,Semester 3,bluetooth,Mengendalikan robot beroda 4 berbasis python menggunakan modul Driver L298N dan koneksi Bluetooth.,5 Minggu,Menengah,Teori & Praktik,Belum Dimulai,Mr. Rahmat Fadlan,"[{""name"":""Komunikasi Bluetooth""},{""name"":""Fundamental driver l298N""},{""name"":""Pemrograman python untuk menggerakkan motor""},{""name"":""Teknik prompting lovable (chatgpt) untuk pembuatan app controller""},{""name"":""ChatGPT / Claude: brainstorming ide pengembangan fitur kontroller""},{""name"":""Integrasi""}]","[""Aplikasi Web Controller Vercel"",""Video Demo""]"
robot-gesture,Robot Gesture,8,Semester 3,hand,Pengembangan web AI Controller berbasis Teachable Machine untuk mengontrol robot beroda menggunakan isyarat kamera.,5 Minggu,Menengah,Praktik AI,Belum Dimulai,Mr. Rahmat Fadlan,"[{""name"":""Sejarah AI""},{""name"":""Konsep AI dan cara kerja""},{""name"":""Faktor-faktor yang mempengaruhi pembuatan AI""},{""name"":""Teachable machine""},{""name"":""Faktor yang mempengaruhi kualitas model AI pada teachable machine""},{""name"":""Pemrograman python untuk robot hand gestures""},{""name"":""Integrasi""},{""name"":""Teknik prompting lovable (chatgpt) untuk pembuatan app AI""},{""name"":""ChatGPT / Claude: brainstorming ide pengembangan fitur kontroller""}]","[""Model Teachable Machine"",""Video Demo""]"
parking-ai,Parking AI,8,Semester 3,parking,Otomatisasi palang parkir pintar menggunakan Computer Vision Python dan database.,5 Minggu,Menengah,Praktik database,Belum Dimulai,Mr. Rahmat Fadlan,"[{""name"":""Faktor-faktor yang mempengaruhi pembuatan AI""},{""name"":""Pemrograman python untuk smart parking""},{""name"":""database""},{""name"":""Teknik prompting lovable (chatgpt) untuk pembuatan app control dan monitor""},{""name"":""Pemrograman Smart parking""},{""name"":""K3 dalam projek smart parking""},{""name"":""Integrasi hardware dan program smart parking AI""},{""name"":""ChatGPT / Claude: brainstorming ide pengembangan smart parking""}]","[""Sistem Smart Parking AI"",""Video Demo""]"
robot-line,Line Follower,8,Semester 3,route,Pemrograman Python tingkat lanjut pada robot untuk menyusuri track garis hitam dengan algoritma PID.,5 Minggu,Menengah,Praktik Robotika,Belum Dimulai,Ms. Nadia,"[{""name"":""Fundamental Line Follower""},{""name"":""Algoritma Line Follower""},{""name"":""Pemrograman python basic dan lanjutan untuk menggerakkan line follower""},{""name"":""Praktek dengan track sederhana""},{""name"":""Teknik prompting (chatgpt / deepseek / claude)""},{""name"":""Tes dengan track advance (chatgpt / deepseek / claude)""}]","[""Robot Python Line Follower"",""Video Demo""]"
